"","client","sub","total","year","catcode"
"1","SmithKline Beecham","SmithKline Beecham",2680000,"1998","H4300"
"2","Hoechst Corp","Hoechst Marion Roussel",840000,"1998","H4300"
"3","Glaxo Wellcome Inc","Glaxo Wellcome Inc",3120000,"1998","H4300"
"4","GlaxoSmithKline","GlaxoSmithKline",4860000,"2005","H4300"
"5","GlaxoSmithKline","GlaxoSmithKline",4920000,"2012","H4300"
"6","GlaxoSmithKline","GlaxoSmithKline",3720000,"2013","H4300"
"7","GlaxoSmithKline","GlaxoSmithKline",5445000,"2011","H4300"
"8","Pfizer Inc","Pfizer Australia",17650,"2015","H4300"
"9","Pfizer Inc","Pfizer Inc",12610000,"2011","H4300"
"10","Bristol-Myers Squibb","Bristol-Myers Squibb",2820579,"1998","H4300"
"11","GlaxoSmithKline","GlaxoSmithKline",6070000,"2010","H4300"
"12","Pfizer Inc","Pfizer Inc",13800000,"2007","H4300"
"13","Pfizer Inc","Pfizer Inc",13330000,"2010","H4300"
"14","Bristol-Myers Squibb","Bristol-Myers Squibb",3535520,"2008","H4300"
"15","GlaxoSmithKline","GlaxoSmithKline",4075000,"2015","H4300"
"16","Pfizer Inc","Warner-Lambert",180000,"2000","H4300"
"17","GlaxoSmithKline","GlaxoSmithKline",4370000,"2014","H4300"
"18","GlaxoSmithKline","GlaxoSmithKline",220000,"1998","H4300"
"19","Bristol-Myers Squibb","Convatec",40000,"2002","H4400"
"20","Pfizer Inc","Pfizer Inc",4700000,"2002","H4300"
"21","Pfizer Inc","Pharmacia Corp",3e+05,"2003","H4300"
"22","Bristol-Myers Squibb","Convatec",40000,"2004","H4400"
"23","Bristol-Myers Squibb","Convatec",2e+05,"2011","H4400"
"24","Pfizer Inc","Pfizer Inc",5660000,"2004","H4300"
"25","Pfizer Inc","Pfizer Inc",7690000,"2016","H4300"
"26","Eli Lilly & Co","Eli Lilly & Co",4277220,"2007","H4300"
"27","Eli Lilly & Co","Eli Lilly & Co",5190000,"2016","H4300"
"28","GlaxoSmithKline","GlaxoSmithKline",4e+06,"2001","H4300"
"29","Pfizer Inc","Pfizer Inc",3720000,"2003","H4300"
"30","Pfizer Inc","Pfizer Inc",10210000,"2012","H4300"
"31","Pfizer Inc","Pfizer Inc",8970000,"2013","H4300"
"32","Pfizer Inc","Warner-Lambert",2240000,"1999","H4300"
"33","GlaxoSmithKline","GlaxoSmithKline",2920000,"2000","H4300"
"34","GlaxoSmithKline","GlaxoSmithKline",4100000,"2002","H4300"
"35","GlaxoSmithKline","GlaxoSmithKline",991000,"2006","H4300"
"36","GlaxoSmithKline","GlaxoSmithKline",8240000,"2007","H4300"
"37","GlaxoSmithKline","GlaxoSmithKline",3200000,"2016","H4300"
"38","GlaxoSmithKline","GlaxoSmithKline Consumer Healthcare",0,"2000","H4300"
"39","GlaxoSmithKline","GlaxoSmithKline Consumer Healthcare",0,"2002","H4300"
"40","Pfizer Inc","Pfizer Inc",3570000,"2001","H4300"
"41","GlaxoSmithKline","GlaxoSmithKline",3300000,"2003","H4300"
"42","Pfizer Inc","Pfizer Australia",13000,"2014","H4300"
"43","Pfizer Inc","Pfizer Inc",11800000,"2006","H4300"
"44","GlaxoSmithKline","GlaxoSmithKline",6990000,"2008","H4300"
"45","Pfizer Inc","Wyeth",2689268,"2009","H4300"
"46","Pfizer Inc","Pfizer Inc",12180000,"2008","H4300"
"47","Pfizer Inc","Pfizer Inc",8470000,"2014","H4300"
"48","Pfizer Inc","Pfizer Inc",9400000,"2015","H4300"
"49","Bristol-Myers Squibb","Convatec",0,"2000","H4400"
"50","Bristol-Myers Squibb","Convatec",40000,"2003","H4400"
"51","Pfizer Inc","Pfizer Inc",6490000,"2005","H4300"
"52","GlaxoSmithKline","GlaxoSmithKline Consumer Healthcare",0,"2008","H4300"
"53","Bristol-Myers Squibb","Bristol-Myers Squibb",4860000,"2001","H4300"
"54","Bristol-Myers Squibb","Bristol-Myers Squibb",2910000,"2015","H4300"
"55","Bristol-Myers Squibb","Convatec",2e+05,"2010","H4400"
"56","Pfizer Inc","Pfizer Inc",23130000,"2009","H4300"
"57","Bristol-Myers Squibb","Bristol-Myers Squibb",4900000,"2002","H4300"
"58","Eli Lilly & Co","Lilly USA",70000,"2013","H4400"
"59","Eli Lilly & Co","Eli Lilly & Co",5160000,"1998","H4300"
"60","Sanofi","Genzyme Corp",1610040,"2011","H4500"
"61","Schering-Plough Corp","Schering-Plough Corp",1540000,"2004","H4300"
"62","Eli Lilly & Co","Eli Lilly & Co",3400000,"2004","H4300"
"63","Eli Lilly & Co","Eli Lilly & Co",7460000,"2010","H4300"
"64","Eli Lilly & Co","Eli Lilly & Co",9680000,"2011","H4300"
"65","Eli Lilly & Co","Lilly USA",50000,"2010","H4400"
"66","Eli Lilly & Co","Lilly USA",130000,"2011","H4400"
"67","Pharmacia Corp","Pharmacia Corp",1337840,"2001","H4300"
"68","Schering-Plough Corp","Schering-Plough Corp",1800000,"2006","H4300"
"69","Bristol-Myers Squibb","Bristol-Myers Squibb",3733000,"2010","H4300"
"70","Aventis","Aventis Pharmaceuticals",2e+05,"2001","H4300"
"71","Sanofi","Sanofi-Pasteur Inc",714000,"2012","H4300"
"72","Sanofi-Aventis","Aventis Pharmaceuticals",2570712,"2003","H4300"
"73","Sanofi-Aventis","Sanofi-Aventis",3860699,"2005","H4300"
"74","Eli Lilly & Co","Eli Lilly & Co",10946000,"2012","H4300"
"75","Sanofi","Genzyme Corp",1025000,"2015","H4500"
"76","Sanofi","Sanofi US",6210000,"2012","H4300"
"77","Schering-Plough Corp","Schering-Plough Corp",2070000,"2008","H4300"
"78","Pfizer Inc","Pfizer Inc",3440000,"2000","H4300"
"79","Bristol-Myers Squibb","Convatec",0,"2001","H4400"
