level5_code,level5,kegg,level1_code,level1,level2_code,level2,level3_code,level3,level4_code,level4
A01AA01,Sodium fluoride,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA01,Sodium fluoride,D00943  Sodium fluoride (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA02,Sodium monofluorophosphate,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA02,Sodium monofluorophosphate,D05864  Sodium monofluorophosphate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA03,Olaflur,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA03,Olaflur,D05241  Olaflur (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA04,Stannous fluoride,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA04,Stannous fluoride,D05919  Stannous fluoride (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA30,Combinations,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA51,"Sodium fluoride, combinations",NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AA51,"Sodium fluoride, combinations",D08736  Sodium fluoride - phosphoric acid mixt,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AA,caries prophylactic agents
A01AB02,Hydrogen peroxide,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
