brand_name,generic_name,key
sodium chloride,0.9 % sodium chloride,sodium chloride
irbesartan,irbesartan,irbesartan
amlodipine besylate,amlodipine besylate,amlodipine besylate
isoniazid,isoniazid,isoniazid
isosorbide dinitrate,isosorbide dinitrate,isosorbide dinitrate
isosorbide mononitrate,isosorbide mononitrate,isosorbide mononitrate
isradipine,isradipine,isradipine
itraconazole,itraconazole,itraconazole
ivermectin,ivermectin,ivermectin
ketoconazole,ketoconazole,ketoconazole
ketoprofen,ketoprofen,ketoprofen
ketorolac tromethamine,ketorolac tromethamine,ketorolac tromethamine
ketotifen fumarate,ketotifen fumarate,ketotifen fumarate
lactic acid,lactic acid,lactic acid
lactulose,lactulose,lactulose
lamivudine,lamivudine,lamivudine
amoxapine,amoxapine,amoxapine
lamotrigine,lamotrigine,lamotrigine
lansoprazole,lansoprazole,lansoprazole
amoxicillin,amoxicillin,amoxicillin
latanoprost,latanoprost,latanoprost
leflunomide,leflunomide,leflunomide
letrozole,letrozole,letrozole
calcium folinate,leucovorin calcium,calcium folinate
leucovorin calcium,leucovorin calcium,leucovorin calcium
leuprolide acetate,leuprolide acetate,leuprolide acetate
levetiracetam,levetiracetam,levetiracetam
levocarnitine,levocarnitine,levocarnitine
levocarnitine,levocarnitine (with sugar),levocarnitine
levofloxacin,levofloxacin,levofloxacin
acamprosate calcium,acamprosate calcium,acamprosate calcium
levonorgestrel,levonorgestrel,levonorgestrel
levothyroxine sodium,levothyroxine sodium,levothyroxine sodium
amphotericin b,amphotericin b,amphotericin b
lidocaine,lidocaine,lidocaine
ampicillin sodium,ampicillin sodium,ampicillin sodium
lindane,lindane,lindane
linezolid,linezolid,linezolid
liothyronine sodium,liothyronine sodium,liothyronine sodium
lisinopril,lisinopril,lisinopril
lithium carbonate,lithium carbonate,lithium carbonate
lithium,lithium citrate,lithium
lithium citrate,lithium citrate,lithium citrate
amyl nitrite,amyl nitrite,amyl nitrite
lomustine,lomustine,lomustine
loperamide,loperamide hcl,loperamide
lorazepam,lorazepam,lorazepam
losartan potassium,losartan potassium,losartan potassium
lovastatin,lovastatin,lovastatin
loxapine,loxapine succinate,loxapine
mafenide acetate,mafenide acetate,mafenide acetate
magnesium chloride,magnesium chloride,magnesium chloride
magnesium sulfate,magnesium sulfate,magnesium sulfate
magnesium sulfate,magnesium sulfate in water,magnesium sulfate
malathion,malathion,malathion
mannitol,mannitol,mannitol
