brand_name,generic_name,key
procalamine,aa 3%/electrolyte-tpn soln/gly,aa 3%/electrolyte-tpn soln/gly
kabiven,aa 3.31 %/d9.8w/fat/elect #10,aa 3.31 %/d9.8w/fat/elect #10
clinimix e,aa 4.25%/calcium/lytes/d25w,aa 4.25%/calcium/lytes/d25w
clinimix e,aa 4.25%/calcium/lytes/d5w,aa 4.25%/calcium/lytes/d5w
clinimix e,aa 4.25%/calcium/lytes/dex 10%,aa 4.25%/calcium/lytes/dex 10%
clinimix e,aa 5 %/calcium/lytes/dext 15 %,aa 5 %/calcium/lytes/dext 15 %
clinimix e,aa 5 %/calcium/lytes/dext 20 %,aa 5 %/calcium/lytes/dext 20 %
clinimix e,aa 5 %/calcium/lytes/dext 25 %,aa 5 %/calcium/lytes/dext 25 %
treagan otic,aa/antipyrn/bcaine/polico#1/al,aa/antipyrn/bcaine/polico#1/al
otic edge,aa/antpy/bcaine/polico/al acet,aa/antpy/bcaine/polico/al acet
epzicom,abacavir sulfate/lamivudine,abacavir sulfate/lamivudine
triumeq,abacavir/dolutegravir/lamivudi,abacavir/dolutegravir/lamivudi
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine,abacavir/lamivudine/zidovudine
trizivir,abacavir/lamivudine/zidovudine,abacavir/lamivudine/zidovudine
orencia,abatacept/maltose,abatacept/maltose
flextra plus,acetaminophen/phenyltolox/caff,acetaminophen/phenyltolox/caff
acuflex,acetaminophen/phenyltolx,acetaminophen/phenyltolx
ali-flex,acetaminophen/phenyltolx,acetaminophen/phenyltolx
dologesic,acetaminophen/phenyltolx,acetaminophen/phenyltolx
dolorex,acetaminophen/phenyltolx,acetaminophen/phenyltolx
flextra-650,acetaminophen/phenyltolx,acetaminophen/phenyltolx
flextra-ds,acetaminophen/phenyltolx,acetaminophen/phenyltolx
relagesic,acetaminophen/phenyltolx,acetaminophen/phenyltolx
rhinoflex,acetaminophen/phenyltolx,acetaminophen/phenyltolx
rhinoflex-650,acetaminophen/phenyltolx,acetaminophen/phenyltolx
zflex,acetaminophen/phenyltolx,acetaminophen/phenyltolx
zgesic,acetaminophen/phenyltolx,acetaminophen/phenyltolx
acid jelly,acetic ac/ricinoleic/oxyquinol,acetic ac/ricinoleic/oxyquinol
acetic acid-aluminum,acetic acid/aluminum acetate,acetic acid/aluminum acetate
borofair,acetic acid/aluminum acetate,acetic acid/aluminum acetate
acetasol hc,acetic acid/hydrocortisone,acetic acid/hydrocortisone
hydrocortisone-acetic acid,acetic acid/hydrocortisone,acetic acid/hydrocortisone
vosol hc,acetic acid/hydrocortisone,acetic acid/hydrocortisone
fem ph,acetic acid/oxyquinoline,acetic acid/oxyquinoline
relagard,acetic acid/oxyquinoline,acetic acid/oxyquinoline
alz-nac,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
cerefolin nac,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
enfolast-n,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
l-methyl-mc nac,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
l-methylfolate-mecobalamin-nac,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
metafolbic plus,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
triveen-cf nac,acetyl/methyl-b12/lmefolate ca,acetyl/methyl-b12/lmefolate ca
soriatane ck,acitretin/emollient comb no.26,acitretin/emollient comb no.26
xerese,acyclovir/hydrocortisone,acyclovir/hydrocortisone
epiduo,adapalene/benzoyl peroxide,adapalene/benzoyl peroxide
epiduo forte,adapalene/benzoyl peroxide,adapalene/benzoyl peroxide
fosamax plus d,alendronate sodium/vitamin d3,alendronate sodium/vitamin d3
amturnide,aliskiren/amlodipin/hcthiazide,aliskiren/amlodipin/hcthiazide
tekamlo,aliskiren/amlodipine besylate,aliskiren/amlodipine besylate
tekturna hct,aliskiren/hydrochlorothiazide,aliskiren/hydrochlorothiazide
valturna,aliskiren/valsartan,aliskiren/valsartan
kazano,alogliptin benz/metformin hcl,alogliptin benz/metformin hydrochloride
oseni,alogliptin benz/pioglitazone,alogliptin benz/pioglitazone
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,amiloride/hydrochlorothiazide
protect plus nr,amino ac/fa/mv-mn/dietary 2,amino ac/fa/mv-mn/dietary 2
clinimix,amino acid 4.25 %/dextrose 25%,amino acid 4.25 %/dextrose 25%
clinimix,amino acids 4.25 %/dextrose 5%,amino acids 4.25 %/dextrose 5%
clinimix,amino acids 4.25%/dextrose 10%,amino acids 4.25%/dextrose 10%
clinimix,amino acids 5 %/dextrose 15 %,amino acids 5 %/dextrose 15 %
clinimix,amino acids 5 %/dextrose 20 %,amino acids 5 %/dextrose 20 %
clinimix,amino acids 5 %/dextrose 25 %,amino acids 5 %/dextrose 25 %
amitriptyline-chlordiazepoxide,amitrip hcl/chlordiazepoxide,amitrip hydrochloride/chlordiazepoxide
chlordiazepoxide-amitriptyline,amitrip hcl/chlordiazepoxide,amitrip hydrochloride/chlordiazepoxide
azor,amlodipine bes/olmesartan med,amlodipine bes/olmesartan med
amlodipine besylate-benazepril,amlodipine besylate/benazepril,amlodipine besylate/benazepril
lotrel,amlodipine besylate/benazepril,amlodipine besylate/benazepril
amlodipine-atorvastatin,amlodipine/atorvastatin,amlodipine/atorvastatin
caduet,amlodipine/atorvastatin,amlodipine/atorvastatin
