brand_name,generic_name
sodium chloride,0.9 % sodium chloride
avapro,irbesartan
irbesartan,irbesartan
marplan,isocarboxazid
isoniazid,isoniazid
dilatrate-sr,isosorbide dinitrate
isordil,isosorbide dinitrate
isordil titradose,isosorbide dinitrate
isosorbide dinitrate,isosorbide dinitrate
imdur,isosorbide mononitrate
isosorbide mononitrate,isosorbide mononitrate
isosorbide mononitrate er,isosorbide mononitrate
monoket,isosorbide mononitrate
absorica,isotretinoin
amnesteem,isotretinoin
claravis,isotretinoin
myorisan,isotretinoin
zenatane,isotretinoin
dynacirc cr,isradipine
isradipine,isradipine
itraconazole,itraconazole
onmel,itraconazole
sporanox,itraconazole
kalydeco,ivacaftor
ivermectin,ivermectin
sklice,ivermectin
soolantra,ivermectin
stromectol,ivermectin
ixempra,ixabepilone
extina,ketoconazole
ketoconazole,ketoconazole
ketodan,ketoconazole
nizoral,ketoconazole
xolegel,ketoconazole
ketodan,ketoconazole/skin cleanser #28
ketoprofen,ketoprofen
vimpat,lacosamide
lactic acid,lactic acid
constulose,lactulose
enulose,lactulose
generlac,lactulose
kristalose,lactulose
lactulose,lactulose
epivir,lamivudine
epivir hbv,lamivudine
lamivudine,lamivudine
lamivudine hbv,lamivudine
lamictal,lamotrigine
lamictal (blue),lamotrigine
lamictal (green),lamotrigine
lamictal (orange),lamotrigine
lamictal odt,lamotrigine
lamictal odt (blue),lamotrigine
lamictal odt (green),lamotrigine
lamictal odt (orange),lamotrigine
lamictal xr,lamotrigine
lamictal xr (blue),lamotrigine
lamictal xr (green),lamotrigine
amoxapine,amoxapine
lamictal xr (orange),lamotrigine
lamotrigine,lamotrigine
lamotrigine er,lamotrigine
lamotrigine odt,lamotrigine
lansoprazole,lansoprazole
prevacid,lansoprazole
amoxicillin,amoxicillin
fosrenol,lanthanum carbonate
aldurazyme,laronidase
latanoprost,latanoprost
xalatan,latanoprost
arava,leflunomide
leflunomide,leflunomide
revlimid,lenalidomide
amoxil,amoxicillin
femara,letrozole
letrozole,letrozole
moxatag,amoxicillin
keppra,levetiracetam
keppra xr,levetiracetam
levetiracetam,levetiracetam
levetiracetam er,levetiracetam
carnitor,levocarnitine
carnitor sf,levocarnitine
levocarnitine,levocarnitine
carnitor,levocarnitine (with sugar)
levocarnitine,levocarnitine (with sugar)
iquix,levofloxacin
levaquin,levofloxacin
levofloxacin,levofloxacin
quixin,levofloxacin
levaquin,levofloxacin/d5w
levonorgestrel,levonorgestrel
mirena,levonorgestrel
my way,levonorgestrel
next choice,levonorgestrel
next choice one dose,levonorgestrel
plan b one-step,levonorgestrel
skyla,levonorgestrel
levothroid,levothyroxine sodium
levothyroxine sodium,levothyroxine sodium
levoxyl,levothyroxine sodium
synthroid,levothyroxine sodium
tirosint,levothyroxine sodium
amphotericin b,amphotericin b
unithroid,levothyroxine sodium
lidocaine,lidocaine
lidoderm,lidocaine
linzess,linaclotide
tradjenta,linagliptin
lindane,lindane
linezolid,linezolid
zyvox,linezolid
cytomel,liothyronine sodium
