brand_name,generic_name
10 wash,sulfacetamide sodium
1st tier unifine pentips,"pen needle, diabetic"
1st tier unifine pentips plus,"pen needle, diabetic"
60pse-400gfn-20dm,guaifenesin/dm/pseudoephedrine
a-b otic,antipyrine/benzocaine
a-hydrocort,hydrocortisone sod succinate
a-methapred,methylprednisolone sod succ
abacavir,abacavir sulfate
abacavir-lamivudine-zidovudine,abacavir/lamivudine/zidovudine
abelcet,amphotericin b lipid complex
abraxane,paclitaxel protein-bound
acamprosate calcium,acamprosate calcium
acanya,clindamycin phos/benzoyl perox
accuneb,albuterol sulfate
accupril,quinapril hcl
accuretic,quinapril/hydrochlorothiazide
accusure,"syring w-ndl,disp,insul,0.5 ml"
accusure,"syringe and needle,insulin,1ml"
acebutolol hcl,acebutolol hcl
aceon,perindopril erbumine
acetaminoph-caff-dihydrocodein,dhcodeine bt/acetaminophn/caff
acetaminophen-codeine,acetaminophen with codeine
acetasol hc,acetic acid/hydrocortisone
acetic acid-aluminum,acetic acid/aluminum acetate
acid jelly,acetic ac/ricinoleic/oxyquinol
aciphex,rabeprazole sodium
aciphex sprinkle,rabeprazole sodium
aclovate,alclometasone dipropionate
acthib,haemoph b poly conj-tet tox/pf
actigall,ursodiol
actimmune,"interferon gamma-1b,recomb."
active ob,"pnv no.66/iron,carbonyl/fa/dha"
activella,estradiol/norethindrone acet
actonel,risedronate sodium
actonel with calcium,risedronate sod/calcium carb
actoplus met,pioglitazone hcl/metformin hcl
actoplus met xr,pioglitazone hcl/metformin hcl
actos,pioglitazone hcl
acuflex,acetaminophen/phenyltolx
acular,ketorolac tromethamine
acular ls,ketorolac tromethamine
acuvail,ketorolac tromethamine/pf
acyclovir,acyclovir
acyclovir sodium,acyclovir sodium
adacel tdap,"diph,pertuss(acell),tet vac/pf"
adagen,pegademase bovine
adderall,dextroamphetamine/amphetamine
adderall xr,dextroamphetamine/amphetamine
adipex-p,phentermine hcl
adoxa,doxycycline monohydrate
adriamycin,doxorubicin hcl
advair diskus,fluticasone/salmeterol
advair hfa,fluticasone/salmeterol
advanced am/pm,om-3/calcium/d3/fa/mv cmb 13
advanced dna medicated collect,lidocaine hcl/glycerin
advicor,niacin/lovastatin
advocate pen needles,"pen needle, diabetic"
advocate syringes,"syring w-ndl,disp,insul,0.3 ml"
advocate syringes,"syring w-ndl,disp,insul,0.5 ml"
advocate syringes,"syringe and needle,insulin,1ml"
aerobid-m,flunisolide/menthol
afrezza,"insulin regular, human"
aggrenox,aspirin/dipyridamole
agrylin,anagrelide hcl
aimsco mini ultra-thin ii,"pen needle, diabetic"
aimsco ultra thin ii,"pen needle, diabetic"
ak-pentolate,cyclopentolate hcl
ak-poly-bac,bacitracin/polymyxin b sulfate
akne-mycin,erythromycin base
akorn balanced salt,balanced salt irrig soln no.2
akten,lidocaine hcl/pf
akynzeo,netupitant/palonosetron hcl
alahist dhc,phenylephrine hcl/dihydroco bt
alamast,pemirolast potassium
albumin (human),albumin human
albuminar-25,albumin human
albuminar-5,albumin human
alburx,albumin human
albutein,albumin human
albuterol sulfate,albuterol sulfate
alcaine,proparacaine hcl
alclometasone dipropionate,alclometasone dipropionate
alcohol pads,alcohol antiseptic pads
alcohol prep pads,alcohol antiseptic pads
alcohol prep swabs,alcohol antiseptic pads
alcohol swab,alcohol antiseptic pads
alcohol swabs,alcohol antiseptic pads
alcohol wipes,alcohol antiseptic pads
"alcohol,dehydrated",ethyl alcohol
aldactazide,spironolact/hydrochlorothiazid
aldex-ct,phenylephrine/diphenhydramine
aldex d,phenylephrine/pyrilamine
alecensa,alectinib hydrochloride
alendronate sodium,alendronate sodium
aleveer,capsaicin/menthol
alfuzosin hcl er,alfuzosin hcl
ali-flex,acetaminophen/phenyltolx
alimta,pemetrexed disodium
allegra,fexofenadine hcl
allegra-d 12 hour,fexofenadine/pseudoephedrine
allegra-d 24 hour,fexofenadine/pseudoephedrine
allegra odt,fexofenadine hcl
allerx 10,pseudoephedrin/methscop/cpm/pe
allerx 30,pseudoephedrin/methscop/cpm/pe
allerx df,chlorpheniramine/methscopolamn
allerx df 30,chlorpheniramine/methscopolamn
allerx pe,chlor-mal/phenyleph/methscop
almotriptan malate,almotriptan malate
alocril,nedocromil sodium
alomide,lodoxamide tromethamine
aloquin,iodoquinol/aloe polysacchar #1
alosetron hcl,alosetron hcl
aloxi,palonosetron hcl
alphagan p,brimonidine tartrate
alrex,loteprednol etabonate
altavera,levonorgestrel-ethin estradiol
aluvea,urea
alyacen,norethindrone-ethinyl estrad
alz-nac,acetyl/methyl-b12/lmefolate ca
amantadine,amantadine hcl
ambien,zolpidem tartrate
ambien cr,zolpidem tartrate
ambisome,amphotericin b liposome
amerge,naratriptan hcl
amethia,l-norgest/e.estradion-e.estrad
amethia lo,l-norgest/e.estradion-e.estrad
amethyst,levonorgestrel-ethin estradiol
amifostine,amifostine crystalline
amikacin sulfate,amikacin sulfate
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide
amiloride hcl,amiloride hcl
amino acids,parenteral amino acid 15% no.1
aminosyn,parenteral amino acid 10% no.2
aminosyn ii,parenteral amino acid 10% no.1
aminosyn ii,parenteral amino acid 15% no.2
