A,B,C,D,E,F
ALIMENTARY TRACT AND METABOLISM,,,,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,,,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA01 Sodium fluoride,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA01 Sodium fluoride,D00943  Sodium fluoride (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA02 Sodium monofluorophosphate,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA02 Sodium monofluorophosphate,D05864  Sodium monofluorophosphate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA03 Olaflur,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA03 Olaflur,D05241  Olaflur (USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA04 Stannous fluoride,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA04 Stannous fluoride,D05919  Stannous fluoride (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,A01AA30 Combinations,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,"A01AA51 Sodium fluoride, combinations",
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AA Caries prophylactic agents,"A01AA51 Sodium fluoride, combinations",D08736  Sodium fluoride - phosphoric acid mixt
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB02 Hydrogen peroxide,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB02 Hydrogen peroxide,D00008  Hydrogen peroxide (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],D07668  Chlorhexidine (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],D00858  Chlorhexidine gluconate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],D01345  Chlorhexidine hydrochloride (JP17/USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],D03463  Chlorhexidine phosphanilate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB03 Chlorhexidine [DG:DG00001],D07669  Chlorhexidine acetate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB04 Amphotericin B,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB04 Amphotericin B,D00203  Amphotericin B (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB05 Polynoxylin,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB05 Polynoxylin,D07067  Polynoxylin (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB06 Domiphen,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB06 Domiphen,D01588  Domiphen bromide (JAN/USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB07 Oxyquinoline [DG:DG00002],
