hcpcs_code,hcpcs_description,year,claim_count,total_spending,beneficiary_count,total_annual_spending_per_user,unit_count,average_cost_per_unit,average_beneficiary_cost_share,annual_change_in_average_cost_per_unit
90371,Hepatitis B immune globulin for injection into muscle,2011,955.0,263564.03,304.0,866.98694079,2307.0,114.24535327,177.30713816,NA
90371,Hepatitis B immune globulin for injection into muscle,2012,787.0,320152.62,237.0,1350.8549367,2966.0,107.94086986,274.97864979,NA
90371,Hepatitis B immune globulin for injection into muscle,2013,715.0,287163.62,235.0,1221.9728511,2712.0,105.88629056,251.02144681,NA
90371,Hepatitis B immune globulin for injection into muscle,2014,639.0,238523.66,196.0,1216.957449,2124.0,112.29927495,250.99556122,NA
90371,Hepatitis B immune globulin for injection into muscle,2015,619.0,257560.26,192.0,1341.4596875,2315.0,111.25713175,281.8809375,NA
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,2011,1934.0,1505927.92,1855.0,811.82098113,8503.5,177.09506909,162.93805391,NA
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,2012,2147.0,2240645.31,2070.0,1082.4373478,11543.5,194.10450123,216.78552657,NA
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,2013,2156.0,2704537.39,2080.0,1300.2583606,12926.0,209.23235262,263.88278846,NA
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,2014,2311.0,3746515.01,2241.0,1671.8050022,16284.0,230.07338553,339.9566622,NA
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,2015,2360.0,4511996.63,2288.0,1972.0264991,18163.3,248.41282311,400.53476836,NA
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,2011,763.0,632079.2,741.0,853.00836707,3713.0,170.23409642,171.79546559,NA
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,2012,850.0,953928.36,834.0,1143.7989928,5224.0,182.60496937,229.52455635,NA
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,2013,812.0,1158937.49,796.0,1455.9516206,5624.0,206.06996622,295.07363065,NA
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,2014,925.0,1584394.38,909.0,1743.0081188,7161.0,221.25323,354.5140374,NA
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,2015,821.0,1552744.9,808.0,1921.7139851,6427.0,241.59715264,393.67037129,NA
90385,Rho(D) immune globulin (mini dose) for injection into muscle,2011,11.0,272.82,11.0,24.801818182,11.0,24.801818182,4.96,NA
90385,Rho(D) immune globulin (mini dose) for injection into muscle,2012,NA,NA,NA,NA,NA,NA,NA,NA
90385,Rho(D) immune globulin (mini dose) for injection into muscle,2013,NA,NA,NA,NA,NA,NA,NA,NA
90385,Rho(D) immune globulin (mini dose) for injection into muscle,2014,11.0,317.67,11.0,28.879090909,11.0,28.879090909,5.8681818182,NA
90385,Rho(D) immune globulin (mini dose) for injection into muscle,2015,11.0,384.85,11.0,34.986363636,11.0,34.986363636,9.62,NA
90585,Vaccine for tuberculosis injection into skin,2011,593.0,96532.22,223.0,432.87991031,866.0,111.46907621,86.744215247,NA
90585,Vaccine for tuberculosis injection into skin,2012,724.0,97792.67,300.0,325.97556667,873.0,112.01909507,66.2192,NA
90585,Vaccine for tuberculosis injection into skin,2013,618.0,71779.45,292.0,245.82003425,670.0,107.13350746,50.331815068,NA
90585,Vaccine for tuberculosis injection into skin,2014,395.0,53996.41,186.0,290.30327957,453.0,119.19737307,60.624677419,NA
90585,Vaccine for tuberculosis injection into skin,2015,458.0,58549.71,199.0,294.21964824,488.0,119.97891393,60.625075377,NA
90586,Vaccine for bladder cancer injection into urinary bladder,2011,409.0,47421.25,91.0,521.11263736,409.0,115.94437653,117.05813187,NA
90586,Vaccine for bladder cancer injection into urinary bladder,2012,244.0,28996.27,62.0,467.68177419,247.0,117.39380567,99.55483871,NA
90586,Vaccine for bladder cancer injection into urinary bladder,2013,209.0,24881.21,50.0,497.6242,213.0,116.81319249,106.5946,NA
90586,Vaccine for bladder cancer injection into urinary bladder,2014,337.0,42946.05,62.0,692.67822581,361.0,118.96412742,147.25064516,NA
90586,Vaccine for bladder cancer injection into urinary bladder,2015,310.0,37568.07,71.0,529.12774648,314.0,119.64353503,114.8084507,NA
90630,Vaccine for influenza for injection into skin,2011,NA,NA,NA,NA,NA,NA,NA,NA
90630,Vaccine for influenza for injection into skin,2012,NA,NA,NA,NA,NA,NA,NA,NA
90630,Vaccine for influenza for injection into skin,2013,NA,NA,NA,NA,NA,NA,NA,NA
90630,Vaccine for influenza for injection into skin,2014,NA,NA,NA,NA,NA,NA,NA,NA
90630,Vaccine for influenza for injection into skin,2015,14251.0,326555.68,14237.0,22.937113156,14251.0,22.914580029,0.1586289246,NA
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",2011,252.0,12897.96,234.0,55.119487179,252.0,51.182380952,18.393846154,NA
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",2012,433.0,23155.08,394.0,58.769238579,473.0,48.953657505,16.492284264,NA
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",2013,603.0,27525.12,543.0,50.690828729,603.0,45.646965174,16.866445672,NA
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",2014,274.0,14608.17,249.0,58.667349398,275.0,53.120618182,14.859236948,NA
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",2015,272.0,13673.04,252.0,54.258095238,272.0,50.268529412,15.480396825,NA
90654,Vaccine for influenza injection into skin,2011,14480.0,247254.13,14461.0,17.097996681,14485.0,17.069667242,0.0370645184,NA
90654,Vaccine for influenza injection into skin,2012,61411.0,1096171.2,61284.0,17.886743685,62425.0,17.559810973,0.0041527968,NA
90654,Vaccine for influenza injection into skin,2013,60578.0,1099521.56,59921.0,18.349519534,60582.0,18.149311016,0.0040077769,NA
90654,Vaccine for influenza injection into skin,2014,38801.0,693670.47,38416.0,18.056811485,38804.0,17.876261983,0.0093940025,NA
90654,Vaccine for influenza injection into skin,2015,13025.0,236537.84,12904.0,18.330582765,13025.0,18.160294818,0.0124984501,0.015888827
90655,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2011,1406.0,25654.05,1395.0,18.39,1407.0,18.23315565,0.0,NA
90655,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2012,799.0,12520.89,798.0,15.690338346,800.1,15.649156355,0.0,NA
90655,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2013,2778.0,22631.11,2770.0,8.1700758123,2778.0,8.1465478762,0.0,NA
90655,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2014,600.0,7998.9,590.0,13.557457627,601.0,13.309317804,0.0,NA
90655,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2015,203.0,3094.47,197.0,15.707969543,203.0,15.243694581,0.0,NA
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",2011,1937494.0,24233593.88,1923163.0,12.600904801,1949319.4,12.431823066,0.0,NA
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",2012,2098250.0,26249010.389,2081754.0,12.609083681,2111011.6,12.434327878,0.0,NA
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",2013,2266905.0,28016653.619,2239715.0,12.509026202,2280257.0,12.286621034,0.0,NA
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",2014,1802699.0,24509339.35,1779749.0,13.771233668,1814303.5,13.508952251,0.0,NA
90656,"Vaccine for influenza for injection into muscle, patient 3 years and older",2015,1068857.0,14854753.86,1061035.0,14.000248682,1169946.0,12.696956834,0.0,-0.060107949
